group_id,match_type,canonical_id,product_id,description,brand,sale_count,similarity
1,exact,21023,21023,AÇUCAREIRO C TAMPA OXFORD WHITE ,,11,100.0
1,exact,21023,20557,AÇUCAREIRO C TAMPA OXFORD WHITE ,,2,100.0
2,exact,13772,13772,BABY DOOL DOCE SONHO R.1747,,177,100.0
2,exact,13772,21121,BABY DOOL DOCE SONHO R.1747,,20,100.0
3,exact,26579,26579,BABY DOOL FUTOM R.110243,,3,100.0
3,exact,26579,26573,BABY DOOL FUTOM R.110243,,2,100.0
4,exact,16605,16605,BABY DOOL INFANTIL DOCE SONHOS CHERRY R.1833,,246,100.0
4,exact,16605,24598,BABY DOOL INFANTIL DOCE SONHOS CHERRY R.1833,,110,100.0
5,exact,16116,16116,BOLSA MEL ACADEMIA RADICAL R.23411,,2,100.0
5,exact,16116,16098,BOLSA MEL ACADEMIA RADICAL R.23411,,2,100.0
6,exact,1717,1717,BORDADO,,8908,100.0
6,exact,1717,23898,BORDADO ,,231,100.0
7,exact,15268,15268,CAMISOLA PROMOCAO SHOP,,7,100.0
7,exact,15268,15269,CAMISOLA PROMOCAO SHOP,,4,100.0
8,exact,24321,24321,CAPA ALMOFADA BOHO CINZA/FENDI,,3,100.0
8,exact,24321,24320,CAPA ALMOFADA BOHO CINZA/FENDI,,1,100.0
9,exact,27658,27658,CAPA DE ALMOFADA AZTECA PRATA,,3,100.0
9,exact,27658,27659,CAPA DE ALMOFADA AZTECA PRATA,,2,100.0
10,exact,27210,27210,CAPA DE ALMOFADA DIGITAL VELUDO 028,,5,100.0
10,exact,27210,27209,CAPA DE ALMOFADA DIGITAL VELUDO 018,,2,100.0
11,exact,23151,23151,CAPA P POLTRONA ONIX BEGE,,1,100.0
11,exact,23151,23150,CAPA P POLTRONA ONIX BEGE,,1,100.0
12,exact,21099,21099,CAPA P SOFA ADOMES BEM ESTAR 2 E 3 LUG MARROM,,10,100.0
12,exact,21099,16674,CAPA P SOFA ADOMES BEM ESTAR 2 E 3 LUG MARROM,,4,100.0
13,exact,27179,27179,CAPA P/ALMOFADA VELUDO DIGITAL NATALINO,,3,100.0
13,exact,27179,28690,CAPA P/ALMOFADA VELUDO DIGITAL NATALINO,,2,100.0
13,exact,27179,28694,CAPA P/ALMOFADA VELUDO DIGITAL NATALINO,,2,100.0
13,exact,27179,28693,CAPA P/ALMOFADA VELUDO DIGITAL NATALINO,,2,100.0
13,exact,27179,28692,CAPA P/ALMOFADA VELUDO DIGITAL NATALINO,,1,100.0
14,exact,28695,28695,CAPA P/ALMOFADA VELUDO NATALINO,,1,100.0
14,exact,28695,28696,CAPA P/ALMOFADA VELUDO NATALINO,,1,100.0
15,exact,30035,30035,CAPACHO  PORTA LIMA MEIA LUA 40 X 60 CINZA,,1,100.0
15,exact,30035,30036,CAPACHO PORTA LIMA MEIA LUA 40 X 60 CINZA,,1,100.0
16,exact,16938,16938,COBERTOR CS CORTEX VIOLETA,,11,100.0
16,exact,16938,15671,COBERTOR CS CORTEX VIOLETA,,7,100.0
17,exact,17167,17167,COBERTOR ST CORTEX AZUL II,,3,100.0
17,exact,17167,17159,COBERTOR ST CORTEX  AZUL II ,,2,100.0
18,exact,7535,7535,COBERTOR ST CORTEX BEGE REVISADO,,10,100.0
18,exact,7535,17155,COBERTOR ST CORTEX BEGE,,6,100.0
19,exact,17163,17163,COBERTOR ST CORTEX PINK,,4,100.0
19,exact,17163,17154,COBERTOR ST CORTEX PINK,,1,100.0
20,exact,17168,17168,COBERTOR ST CORTEX VERDE,,7,100.0
20,exact,17168,17156,COBERTOR ST CORTEX VERDE,,1,100.0
21,exact,28884,28884,COBERTOR VELOUR QUEEN NEO ROSE 220 X 240,,3,100.0
21,exact,28884,28883,COBERTOR VELOUR QUEEN NEO ROSE 220 X 240,,2,100.0
22,exact,24893,24893,COBRE LEITO CS COLOR ART PARIS ,,18,100.0
22,exact,24893,22850,COBRE LEITO CS COLOR ART PARIS ,,18,100.0
23,exact,25002,25002,COBRE LEITO CS FATEX MILÃO,,13,100.0
23,exact,25002,25004,COBRE LEITO CS FATEX MILÃO,,5,100.0
24,exact,29193,29193,COBRE LEITO CS HABITAT BRANCA,,10,100.0
24,exact,29193,29188,COBRE LEITO CS HABITAT BRANCA,,6,100.0
25,exact,24895,24895,COBRE LEITO KING COLOR ART PARIS ,,18,100.0
